"Week","Date","Fuel","Variable","Value","Unit","Status"
"2004w18",2004-04-30,"Diesel","Importer margin",15.9,"NZD c/L","Final"
"2004w18",2004-04-30,"Diesel","Importer margin trend",18.0525250123792,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Importer cost",52.2,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Price excluding tax",58.5,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","GST",12.6,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Taxes",41.9,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Board price",113,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Adjusted retail price",113,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Importer margin",11.8,"NZD c/L","Final"
"2004w18",2004-04-30,"Regular Petrol","Importer margin trend",13.6086141496458,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","Importer cost",52.86514286,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","Price excluding tax",65.50166667,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","GST",13.43333333,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","Board price",120.9,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","Adjusted retail price",120.9,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","Importer margin",12.63652381,"NZD c/L","Final"
"2004w18",2004-04-30,"Premium Petrol 95R","Importer margin trend",13.629261168999,"NZD c/L","Final"
"2004w19",2004-05-07,"NA","Dubai crude price",33,"USD/bbl","Final"
"2004w19",2004-05-07,"NA","Dubai crude price",53,"NZD/bbl","Final"
"2004w19",2004-05-07,"NA","Exchange rate",0.63,"USD/NZD","Final"
"2004w19",2004-05-07,"Diesel","Importer cost",47.8,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Price excluding tax",62.2,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","ETS",0,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","GST",7.8,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Taxes",0.399999999999999,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Board price",70.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Adjusted retail price",70.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Importer margin",18.8,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Importer margin trend",18.064661860552,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Importer cost",53.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Price excluding tax",62.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","GST",13,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Board price",117.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Adjusted retail price",117.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Importer margin",13.8,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Importer margin trend",13.5955658407305,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Importer cost",55.80942857,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Price excluding tax",70.835,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","GST",14.1,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Board price",126.9,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Adjusted retail price",126.9,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Importer margin",15.02557143,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Importer margin trend",13.6301391244364,"NZD c/L","Final"
"2004w20",2004-05-14,"NA","Dubai crude price",34,"USD/bbl","Final"
"2004w20",2004-05-14,"NA","Dubai crude price",57,"NZD/bbl","Final"
"2004w20",2004-05-14,"NA","Exchange rate",0.609,"USD/NZD","Final"
"2004w20",2004-05-14,"Diesel","Importer cost",48.1,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Price excluding tax",66.2,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","ETS",0,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","GST",8.3,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Taxes",0.399999999999999,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Board price",74.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Adjusted retail price",74.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Importer margin",20.5,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Importer margin trend",18.0767987087247,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Importer cost",56.4,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Price excluding tax",66.4,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","GST",13.5,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Board price",121.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Adjusted retail price",121.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Importer margin",14.2,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Importer margin trend",13.5825175318153,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Importer cost",57.75228571,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Price excluding tax",70.835,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","GST",14.1,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Board price",126.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Adjusted retail price",126.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Importer margin",13.08271429,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Importer margin trend",13.6310170798738,"NZD c/L","Final"
"2004w21",2004-05-21,"NA","Dubai crude price",36,"USD/bbl","Final"
"2004w21",2004-05-21,"NA","Dubai crude price",59,"NZD/bbl","Final"
"2004w21",2004-05-21,"NA","Exchange rate",0.602,"USD/NZD","Final"
"2004w21",2004-05-21,"Diesel","Importer cost",46.5,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Price excluding tax",65.7,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","ETS",0,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","GST",8.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Taxes",0.299999999999999,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Board price",74.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Adjusted retail price",74.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Importer margin",17.9,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Importer margin trend",18.0889355568975,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Importer cost",54.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Price excluding tax",65.9,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","GST",13.5,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Taxes",41.9,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Board price",121.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Adjusted retail price",121.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Importer margin",12.6,"NZD c/L","Final"
"2004w21",2004-05-21,"Regular Petrol","Importer margin trend",13.5694692229,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Importer cost",60.77042857,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Price excluding tax",70.835,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","GST",14.1,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Board price",126.9,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Adjusted retail price",126.9,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Importer margin",10.06457143,"NZD c/L","Final"
"2004w21",2004-05-21,"Premium Petrol 95R","Importer margin trend",13.6318950353112,"NZD c/L","Final"
"2004w22",2004-05-28,"NA","Dubai crude price",35,"USD/bbl","Final"
"2004w22",2004-05-28,"NA","Dubai crude price",57,"NZD/bbl","Final"
"2004w22",2004-05-28,"NA","Exchange rate",0.618,"USD/NZD","Final"
"2004w22",2004-05-28,"Diesel","Importer cost",45.7,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Price excluding tax",68,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","ETS",0,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","GST",8.5,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Board price",76.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Adjusted retail price",76.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Importer margin",19.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Diesel","Importer margin trend",18.1010724050702,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Importer cost",53.7,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Price excluding tax",68.2,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","GST",13.8,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Taxes",41.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Board price",123.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Adjusted retail price",123.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Importer margin",11.8,"NZD c/L","Final"
"2004w22",2004-05-28,"Regular Petrol","Importer margin trend",13.5564209139848,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Importer cost",57.88642857,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Price excluding tax",72.61277778,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","GST",14.32222222,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Board price",128.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Adjusted retail price",128.9,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Importer margin",14.72634921,"NZD c/L","Final"
"2004w22",2004-05-28,"Premium Petrol 95R","Importer margin trend",13.6327729907486,"NZD c/L","Final"
"2004w23",2004-06-04,"NA","Dubai crude price",35,"USD/bbl","Final"
"2004w23",2004-06-04,"NA","Dubai crude price",56,"NZD/bbl","Final"
"2004w23",2004-06-04,"NA","Exchange rate",0.628,"USD/NZD","Final"
"2004w23",2004-06-04,"Diesel","Importer cost",44.3,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Price excluding tax",67.7,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","ETS",0,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","GST",8.5,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Board price",76.6,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Adjusted retail price",76.6,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Importer margin",21.3,"NZD c/L","Final"
"2004w23",2004-06-04,"Diesel","Importer margin trend",18.1132092532429,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Importer cost",49.4,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Price excluding tax",67.9,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","GST",13.7,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Board price",123.6,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Adjusted retail price",123.6,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Importer margin",13.6,"NZD c/L","Final"
"2004w23",2004-06-04,"Regular Petrol","Importer margin trend",13.5433726050695,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Importer cost",57.5805,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Price excluding tax",70.835,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","GST",14.1,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Board price",126.9,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Adjusted retail price",126.9,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Importer margin",13.2545,"NZD c/L","Final"
"2004w23",2004-06-04,"Premium Petrol 95R","Importer margin trend",13.633650946186,"NZD c/L","Final"
"2004w24",2004-06-11,"NA","Dubai crude price",34,"USD/bbl","Final"
"2004w24",2004-06-11,"NA","Dubai crude price",53,"NZD/bbl","Final"
"2004w24",2004-06-11,"NA","Exchange rate",0.629,"USD/NZD","Final"
"2004w24",2004-06-11,"Diesel","Importer cost",44.5,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Price excluding tax",65.1,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","ETS",0,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","GST",8.2,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Taxes",0.300000000000001,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Board price",73.6,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Adjusted retail price",73.6,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Importer margin",19.4,"NZD c/L","Final"
"2004w24",2004-06-11,"Diesel","Importer margin trend",18.1253461014157,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Importer cost",48.2,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Price excluding tax",65.2,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","GST",13.4,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Board price",120.6,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Adjusted retail price",120.6,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Importer margin",11.5,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Importer margin trend",13.5303242961542,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Importer cost",52.359,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Price excluding tax",69.05722222,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","GST",13.87777778,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Board price",124.9,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Adjusted retail price",124.9,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Importer margin",16.69822222,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Importer margin trend",13.6345289016234,"NZD c/L","Final"
"2004w25",2004-06-18,"NA","Dubai crude price",33,"USD/bbl","Final"
"2004w25",2004-06-18,"NA","Dubai crude price",53,"NZD/bbl","Final"
"2004w25",2004-06-18,"NA","Exchange rate",0.627,"USD/NZD","Final"
"2004w25",2004-06-18,"Diesel","Importer cost",44.5,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Price excluding tax",63.3,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","ETS",0,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","GST",8,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Taxes",0.300000000000001,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Board price",71.6,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Adjusted retail price",71.6,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Importer margin",19,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Importer margin trend",18.1374829495884,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Importer cost",47.7,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Price excluding tax",63.5,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","GST",13.2,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Taxes",41.9,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Board price",118.6,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Adjusted retail price",118.6,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Importer margin",14.1,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Importer margin trend",13.517275987239,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Importer cost",52.396,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Price excluding tax",66.39055556,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","GST",13.54444444,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Board price",121.9,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Adjusted retail price",121.9,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Importer margin",13.99455556,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Importer margin trend",13.6354068570608,"NZD c/L","Final"
"2004w26",2004-06-25,"NA","Dubai crude price",34,"USD/bbl","Final"
"2004w26",2004-06-25,"NA","Dubai crude price",53,"NZD/bbl","Final"
"2004w26",2004-06-25,"NA","Exchange rate",0.63,"USD/NZD","Final"
"2004w26",2004-06-25,"Diesel","Importer cost",43.2,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Price excluding tax",61.8,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","ETS",0,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","GST",7.8,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Taxes",0.3,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Board price",69.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Adjusted retail price",69.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Importer margin",17.3,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Importer margin trend",18.1455393656821,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Importer cost",44.6,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Price excluding tax",61.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","GST",13,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Board price",116.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Adjusted retail price",116.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Importer margin",13.7,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Importer margin trend",13.4981248958851,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Importer cost",52.28214286,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Price excluding tax",66.39055556,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","GST",13.54444444,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Board price",121.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Adjusted retail price",121.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Importer margin",14.1084127,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Importer margin trend",13.626673418181,"NZD c/L","Final"
"2004w27",2004-07-02,"NA","Dubai crude price",32,"USD/bbl","Final"
"2004w27",2004-07-02,"NA","Dubai crude price",51,"NZD/bbl","Final"
"2004w27",2004-07-02,"NA","Exchange rate",0.637,"USD/NZD","Final"
"2004w27",2004-07-02,"Diesel","Importer cost",45.8,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Price excluding tax",60.5,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","ETS",0,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","GST",7.6,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Taxes",0.4,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Board price",68.5,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Adjusted retail price",68.5,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Importer margin",16.1,"NZD c/L","Final"
"2004w27",2004-07-02,"Diesel","Importer margin trend",18.1535957817758,"NZD c/L","Final"
"2004w27",2004-07-02,"Regular Petrol","Importer cost",47.3,"NZD c/L","Final"
"2004w27",2004-07-02,"Regular Petrol","Price excluding tax",59.8,"NZD c/L","Final"
"2004w27",2004-07-02,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w27",2004-07-02,"Regular Petrol","GST",12.7,"NZD c/L","Final"
"2004w27",2004-07-02,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w27",2004-07-02,"Regular Petrol","Board price",114.5,"NZD c/L","Final"
"2004w27",2004-07-02,"Regular Petrol","Adjusted retail price",114.5,"NZD c/L","Final"
